Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
497353,B005IOXR1M,A3JD0QYOI2MQP7,Connie M Hall,0,3,1,1320451200,Weak,I don't know what I expected when you add water to apple you get weak apple.  If you put a cinnamon stick in all you'd taste would be the cinnamon.
280425,B0017I1QAC,AJINJ91DT240H,L. Loop,2,8,1,1224201600,Terrible Salsa,"Unquestionably the worst salsa I have ever tried.  Bad doesn't even begin to explain this salsa.  I can stomach bad salsa, though I may not enjoy it.  This salsa literally triggers a gag reflex as I try to eat it.  I tried one or two bites on three separate occasions and have decided to throw out the rest.<br /><br />Maybe the shipping wasn't kind to my salsa, I can't say.  I suspect that one or more of the ingredients is rancid in the salsa I received.  Either way, I will not be buying this brand again."
49006,B000EHP62Q,AL1ZJIW2UER9B,"Kristan Emly ""Kris""",1,4,1,1188172800,Almost as bland as plain oatmeal,"I love the other Kashi hot cereal, so I bought the Vanilla with great confidence -- only to be completely disappointed! It has little to no texture, it is very bland, and it gums up very quickly even with more than the reccommended amount of water. I originally bought Kashi because prepackaged oatmeal is overly sweet -- this is not sweet at all. I also found it to be too creamy. If you're looking for an excellent hot cereal, try the Kashi Cinnamon and Honey."
449453,B005F97I2E,A1DKZOOLFJ53UX,Jess,0,0,1,1346284800,Horrible Ingredients!  If you care for your dog...,"""No artificial color, no fillers""... I bought some and threw them out once I gave a trial to my dogs.  They got diarrhea every time they ate these. Garlic & Onion?  The only two flavors in this ""treat"" are garlic and onion; they can both be TOXIC to dogs(look it up)!  Glycerine?  By-product of soap?!<br /><br />Do yourself, your dogs health, and your vet bill a favor--make your own for a lot less!<br /><br />Things your dog should never eat...Post it on your fridge:<br />-Alcohol<br />-Apple cores<br />-Avocado<br />-Bones<br />-Caffeine<br />-Cheese<br />-Chocolate<br />-Dough<br />-Fat<br />-GARLIC<br />-Grapes<br />-Ham<br />-Liver<br />-Milk<br />-Moldy foods<br />-Mushrooms<br />-ONIONS<br />-Potato peels<br />-Raisins<br />-Tuna"
409954,B003V3M8QC,A1YAKVS9RPESNX,Diane,0,3,1,1305590400,Very Sour/Salty candy,"NOT the best flavor....did not taste like mango at all.  Some of the other flavors are much better.  Edible, but barely :)"
190731,B000FI4O90,A3AGEH3VGU2JMA,J. Hill,4,13,1,1270598400,Poor return policy,I bought this for a gift for my daughter and later she decided to return it.  Aerogrow does not accept returns after 30 days!  I can see not accepting seed packets but they won't accept the mechanical part- the garden device!  I find that quite customer-unfriendly.
11036,B001NJI7GQ,A2YJVYHFFYVWHF,Lindsey,1,3,1,1336608000,GROSS,"I bought this at a local gas station near my house and was excited to try it because I see it everywhere. It was nasty. I will never drink this crap again, I don't care how ""good"" it is for you. The taste is disgusting and I'd rather just drink regular water. Blah!"
442888,B0006345PW,A3TVZM3ZIXG8YW,christopher hayes,7,9,1,1291420800,"Filler food is empty, leaves your cat always needing more","This review will make me sound really stupid, but whatever. I don't really care as long as people find out what's real and can avoid my mistakes.<br /><br />I got my wonderful little sweet Bella Bean when she was a few days shy of three years old. She had been bounced around from house to house and eating whatever was cheap. I have had cats around me my entire life, for about twenty-five years now. My mother always just fed them whatever, the kinds of food you buy in the supermarket - Friskies, Nine Lives, Kit & Kaboodle, stuff like that. And our cats were always fine, at least in terms of their eating habits. They would eat in the morning, stop when they were done, come back, and eat some more when they got hungry.<br /><br />My housemate at the time was working for Hill's and assured me that this was the best food ever made, so great, so on and so forth. I now know that she is an utter buffoon, but I initially trusted her judgment, which is so unfortunate because she doesn't think. She also had plenty of coupons for free or deeply discounted bags, which made it a much more attractive choice.<br /><br />I first tried feeding the little Bean an unmeasured amount of Science Diet in a bowl, but that didn't work, as she would devour it in one sitting. So then I took to measuring it, and she did the same thing. Then I started parsing it out to twice a day. That didn't work either, because she would start going crazy in the middle of the day, running around, intentionally destroying things, deliberately spilling her water, crying, etc., until she got more food. So then I split it into three servings. Same thing. Then it got to be four servings. That was a little better, but it was too much maintenance and unrealistic to be around every day to feed her four times. So then it went back to three. All the while, I was trying to reduce the amount of food I was feeding her to less than 3/4 of a cup because she was a little chubby. Reducing was hell. She became even more hungry, but I figured she would get used to it. Not really.<br /><br />For over a year, she would wake me up every morning looking for food in a serious way, knocking things off my desk, ripping up any paper she could find, scratching at the door and committing general acts of mischief. As soon as she got food, she was back to her sweet self, but only for three or four hours.<br /><br />We thought she was bored, we thought she was a little nutty, and maybe even had a kitty eating disorder. She always wanted food. It was kind of funny but in the end it was just sad.<br /><br />A few weeks back, we took her to a new (good, non-money factory) vet for her second checkup since I've had her. I talked with him about her being always hungry. He asked what she ate, and I told him the adult indoor Science Diet. Without saying as much, he basically told me that this food is garbage and I should look for something else. He said cat food should have a protein followed by a carbohydrate as the first two ingredients. Science Diet does, in a very loose, by-product kind of way - ground up slaughterhouse leftovers and corn dust. Then they put a bunch of vitamins in it to make it ""healthy,"" instead of just using good ingredients from the beginning. Not that I care about spending money on the Bean, but this food is way too expensive for what it is.<br /><br />So we began transitioning her onto Wellness indoor formula about two weeks ago. She is still eating 50 percent Science Diet with 50 percent Wellness (you really shouldn't just give a cat different food one day out of the blue) but SHE NEVER FREAKS OUT ANYMORE. It's amazing. And it's 100 percent because she is eating real food now, along with that sawdust and chicken hearts I still regrettable have to feed her. We have her down to eating twice a day, only 1/3 cup in TOTAL. She was eating three times a day, 5/8 of a cup in total. Now she eats some in the morning, walks away, eats some more a few hours later, and then looks for dinner about twelve hours after her initial feeding. No more knocking things over, no more trashing Dad's papers on the desk, no more howling, no more deliberately spilled water on the floor. It's incredible.<br /><br />I feel so bad that I was doing this to her for so long. We really thought she was just being dramatic or whatever. But no, she was genuinely hungry because she wasn't eating any real food.<br /><br />Do your cat a favor - buy her or him so food made with real ingredients, things you would eat - Wellness, Halo, Innova, Evo, whatever. Figure it out for yourself, but please don't feed your cat this. It's garbage."
215709,B0000DHWZH,A1A5UBL8ERNFO3,H. Sun,3,3,1,1125964800,Never recieved item,I purchased the item half month ago but I never recieved it. It is not fun. And I could not find the way to contact custom service. Please let me know what happened. Thanks!
140950,B004DBS2TI,A2CTQOWHR1LNRD,Bananarama,0,2,1,1306195200,Not at all what I ordered,"Thought I was ordering Light roast of these K-cups.  When I received the box, it said light roast on box.  When I opened it, it was all Extra Bold French Roast....bleh!!  Too much trouble to return so I sent it w/ my husband to his office and bought some K-cups at the store."
69956,B004HEJDYY,A132ETQPMHQ585,"Donna's Reviews ""I Love Shopping on Amazon!""",2,2,1,1328572800,Bought the beef and chicken Not for me....,"Bought the beef and chicken Not for me....First off while the price is 64% off be aware that it'a industrial size....and it expires in June....I bought 4 of each the chicken and beef...HATE the taste....and THEY really should tell toy the expiration date...Probably why it's so cheap....I THREW them all out....just did not like the taste or consistency!<br /><br />Manna Soy Gourmet Meatless Beef Goulash, 4.4 Pound Family Pak, All Natural, Gluten Free, Shelf Stable, Pre-cooked, Pre-seasoned, Dairy Free, Egg Free, Sugar Free,- Even Kids Love It"
533099,B009E7YC54,A1N2Z0HOPD4Y11,NWOOD,0,0,1,1350864000,Yuck,Does not taste like peanut butter at all.  Leaves a foreign taste in your mouth that does not taste natural.  Avoid this product if you're looking for a viable alternative for peanut butter.
301899,B000EY38MY,A2P00L8ZU3AVLW,HoneyMaven,1,1,1,1277424000,Broken to Bits...,These wafers taste incredible under normal circumstances but the six tins are a crumbled mess of smashed chocolate sticks. They should have written 'fragile' on the box. It's literally a pile of chocolate goo and crumbs. I will not order again...
190509,B0012UEHFQ,A3CR0UBHFX0NE7,Sharee Lee Peterson,0,0,1,1330300800,Poor Substitute,"I had previously ordered the single bully sticks and they were no longer available.  It was suggested I get the braided.<br />My dog bit off the end and, wha-la three tiny stick he gobbled in a matter of minutes. Expensive for what I got.<br /><br />Respectfully,<br /><br />Sharee Peterson<br />\"
407064,B003YVN6WG,A2GKUFSMQSS1H9,TP,0,0,1,1305936000,Not what was pictured,"I ordered what I thought were small chews nicely arranged in a box.  That's what the picture shows.  What I received, however, was a gnarly looking real bone that looked like it came from a slaughter house.  The thing is bigger than my dog.<br /><br />If what they sent me is actually a knuckle bone (and I suspect it is) then the picture of boxed dog chews is all wrong for the product.  There is no way I would have ordered this ""thing"" if it had been pictured.<br /><br />I didn't return it because it wasn't worth the hassle.<br /><br />I won't order from this vendor again."
205575,B002EM2J06,AIMLL9ATB9WFX,RHT,14,22,1,1252540800,Bottles are PLASTIC - not GLASS!,"The ONLY reason I chose to purchase a case of Voss Water was for the GLASS bottles... how disappointed I was to open the case last night to find land-filling, petroleum based PLASTIC bottles.  Will be returning the shipment tomorrow!"
382711,B0036VFXAC,A17Z7GG8X09YO2,"Sophia Martin ""rosehips""",0,0,1,1340928000,MILK in the ingredients,"This baby food, labeled for 6+ months, contains heavy cream. My baby could not digest it; we had a very bad day. Maybe I missed that in the description, but in any case, everywhere I've read and according to my pediatrician, you're supposed to avoid cow's milk products before age 1 (why they make formula using cow's milk and not a much more digestible milk like goat baffles me and is a rant for another time--my son drinks the lactose free kind, in any case). I ordered another variety of ""Wholesome breakfast"" too: Pear, Apple, Oatmeal. Same thing there. I'm guessing they all have heavy cream in them."
271757,B0000DGFCL,A1I38B4EGR2EHG,"Steve W. Bourdeau ""DJ Steve""",1,1,1,1213833600,sad looking tree - UPDATE,"I received this about the same time I received two other bonsai from Amazon, the other two were very nice, but this one did not look well to start and has gone downhill since.<br />update 10-30-08<br />So I had purchased this item and it arrived well pack but struggled for about 4-5 months then all of a sudden there was new growth everywhere, and then little flowers.  I was amazed of the fast growth and now there are olives starting to grow.  All I can say if yours is struggle, give it time, fertilizer, water and sunlight and it should come back..."
253761,B003C1RIEK,ATKTWMPEXKAWB,"R. Keesaman ""Becky K""",0,0,1,1332201600,Gross,We were given a sample box of Cafe Escapes (4 count) with our Keurig brewer.  They do not taste good.  They have a very strong chemical / plastic taste and the chocolate flavor is difficult to distinguish but it does taste artificial.  It had a decent mouth feel and brewed well but the taste is not worth it.
534076,B001EQ5CPC,A3TDAPXOW33S3E,Dr. Coffey,0,1,1,1295913600,Terrible Beans,"I buy all sorts of whole beans to make espressos and lattes. I've been to the Blue Mountains, and the coffee is by far the best in the world. But it is the most expensive coffee too. I'll never buy a blend again, because you just don't know what they cut these beans with. This is just terrible coffee. Horrible. For a ""gourmet"" brand, they really screwed this one up. I'll stick to buying 100% Kona coffee in the future. I can't explain just how bad this bag of coffee is. I've had to blend it with stronger coffees just to drink it. On its own, it tastes like bad, bad diner coffee. It's not strong. It's really weak. Yet the bad taste is very strong. Ha. Just awful. Shame on you, Jeremiah."
328184,B000LKVB6Q,AD69PAT9OSRPN,"SaraMoon ""SCM""",0,0,1,1300924800,New formula is not good,"This has long been the only milk my 4 year old would ever drink. We had been buying it on subscribe and save for a few years now. Our last shipment had the new formula and my daughter took one sip and said ""yuck!"" She won't even touch it now and I have a whole case of milk that she won't drink.  Such a disappointment. I have to say that although the old formula had 1% more fat and a few extra grams of sugar I don't think the minor nutritional improvements are worth the sacrifice in flavor.  I tasted as well and the new formula does have a chalky taste to it. Bring back the old formula!!"
210741,B001EQ4OWO,A16RAK8OYDDWGH,"P. Chesnut ""pchesnut""",2,3,1,1285977600,"Not sure they arrived at ""Biodegradable""","I bought these bags to go in our poo composter instead of tossing the bags in the trash.  Well, after several months these bags are not degrading at all, bio or otherwise.  The composter has RidX and the poos breaks find, just not the bags.<br /><br />Sooooo..... if you want a ok poop bag, these are as good as any other (although not as handy as the roll up type in the little carriers though) but don't expect them to break down in anything but your local landfill.<br /><br />Another down side to these bags; the bags are too small to be tied off tightly to seal in the poo so the trash can really smells.<br /><br />Since all this stuff will end up the landfill anyway, you will do much more good for the environment by reusing plastics grocery to pick up your dog waste.  Certainly plenty big and can be easily tied off to lock in the smell making trash day a much more pleasant experience."
290464,B004777F3M,ALA8CJBT9WBY0,LKH,0,0,1,1335052800,Couldn't even finish one cup,"I'm an avid chai drinker--many different varieties of both lattes and straight black tea.  We purchased this product because we noticed that the Cafe Escapes chai lattes--a sweeter, creamier blend--did not actually have much black tea in it, and we still wanted our morning caffeine.  Neither my husband nor I could finish one mug of this stuff, and we will end up getting rid of the box.  It was that awful. There was none of the subtle spice blending--just a watery slightly clove-tasting flavor undercut by a bitterness that almost had hints of coffee. Adding a little milk, as we usually do, didn't help at all.  If you enjoy chai, I'd recommend Bigalow or Tazo and skip this one."
257185,B002TSA91Q,AQZ4PHIEEV5N5,"Penny Pinching Polly ""Check out my website fo...",1,2,1,1271894400,Scent is overpowering,"Normally, I would try to find some good points about a product even if it has a bad scent.  However, the scent of this body wash is so overpowering that I cannot get past it to find some endearing qualities.<br /><br />The smell triggered a migraine even when my father was the one to use the body wash.  Yes, it is THAT bad.<br /><br />Sorry, Dove.  I wanted to like you. I love your deodorant, shampoo, and usually your soap.  This time, you failed me.dove"
80295,B0080YLBTM,A2H95BTG2DX82U,Chayanne,1,1,1,1350259200,Tillandsia Ionantha Air Plants,These plants looked dead and were very small.  I watered them as directed and they still look the same.  I've had them for a few weeks and follow the directions every time I water them.
124015,B004DBOPUI,A2619NY043NYE9,Misha22,1,1,1,1326758400,"Good tasting coffee, poor quality k-cups","I just want to chime in with the other reviewers who noted the poor quality of these k-cups. Half of the k-cups I purchased explode in my coffee machine because the foil over the top of the cup is not sealed properly. Not only is it disappointing and a waste of money, it's a real pain to clean your machine after an explosion of coffee grounds. This is unfortunate because I think Tully's has the best quality coffee, particularly decaf, you can find out there in k-cups right now. I heard Starbucks is going to get in the k-cup business at some point. Hopefully sooner than later."
192536,B006GA666U,A85PB2BX6O8XA,Mark Twain,0,1,1,1323907200,Emeril Doesn't Know Beans,"If coffee is not a dark roast I pass it by.  There was a sale on Emeril's plus I had a 30% off coupon [should have known better].  While I was not expecting a French or an Italian level of dark roast, I was anticipating a decent cup of coffee.  ""Big Easy"" is a misnomer for ""Big Zero.""  When I add a tablespoon of half&half and the color of the coffee goes to tan, that's telling about the darkness therein.  That's what happened here.  Then I went on to the taste:  this stuff is weak with a bitter undertone; and then, oddly, it tastes, as the first sip goes down, as though water was added.  I use the 5 ounce side of my Keurig.  Can only imagine that the large cup would be right up there with dishwater.  I will slug down the remaining 17 kcups, but will never purchase again."
410825,B000EQVAFY,A6ZJ3X7HNFPO7,Jane Twain,3,5,1,1292716800,Deceptive packaging-it does have GMO ingredients,"Either these folks are completely ignorant or they think putting "" no genetically engineered ingredients"" on the front of the package will cause us to to ignore their list of ingredients on the back.  Canola oil is made from genetically modified rapeseed. They also say it may have Safflower or Sunflower oil, but I'd<br />rather not take part in that lottery. I'd like to send back this lot, but I'm not willing to bet, they would not have the nerve to sell it to the next unsuspecting soul, so it will go straight into the trash can ,where it belongs."
523358,B004XRJ052,A3RFEVNPLN8TDN,"Yadi Alamin ""QiGong Therapist""",1,1,1,1340928000,Not Raw,"<span class=""tiny""> Length:: 1:59 Mins<br /><br /></span><a href=""http://www.amazon.com/gp/product/B004XRJ066"">No Shell Raw Organic Sunflower Seeds (14oz bag)</a><br />Honesty is a must!  This is NOT raw, and the company didn't refund the $ after their dishonesty."
230328,B00004RYGX,A2E30DTXCQ807J,"*** ""a reader""",2,43,1,1132358400,Light-hearted fantasy diversion,"A haunting movie in which everything is played for laughs.<br /><br />There are no serious moments, deep introspections, revelations, life reviews, insights into life's purpose, etc. It is a non-stop gimmicks, special effects, sight gags, visual fluff suitable for the younger set.<br /><br />The hero and heroine drown together in a car accident, discover they are dead and back in their dearly beloved house. They can't leave because there are monsters outside. Their peace in interrupted by the new owners who decide to redo the place in a ridiculous gaudy style. They notice an unexpected book ""The Handbook for the recently deceased."" on the nightstand which serves as their guide to their new situation. Through it they discover how to reach their ""caseworker"" and an obnoxious haunter named Beetlejuice<br /><br />who might be able to help them remove the new occupants. Everything they try fails to work and in the end they accept the new owners. The owner's daughter becomes closer to them than her step-parents providing the child they always wanted and couldn't have. Other than the idea that they can not see themselves in a mirror and that the new owners cannot see them (except the daugthter), there is little we learn about the afterlife here. We see a couple brief scenes of the caseworker's office which can only be described as depressing. Worst movie I have seen in a long time."
91451,B002F8XFNE,A3T1TMBUXHADLO,Vinit Gupta,1,1,1,1304035200,The heart shapes died,"I got the plant in good shape however the the center bamboo and heart shapes started to turn pale and brown. I gifted it to wife who changed the water and washed stones very regularly. She even kept it in indirect sunlight when it was turning pale no use. Ultimately we have to cut the Heart shaped portions of bamboo, the rest of the plant so far is green but not sure how long. I even used bottled water as Chlorine in tap water may be bad for this. Very disappointed at this purchase."
222490,B004E4CCSQ,A1QMN8SJYRREMT,Dave Cunningham,0,0,1,1330041600,H2-Oh No,"The bottle tells you to dispense one squeeze to flavor 8 fl oz of water. Exactly how much is ""one squeeze"" supposed to be? One family member's squeeze colored his whole glass of water orange and gave his water a sticky sweet aftertaste, like several dozen Sweet Tarts had melted into it. My one squeeze left a few peachy tendrils floating in mostly clear water and made it taste like someone who ate Sweet Tarts an hour ago had backwashed into my glass. Neither was pleasant. If there were supplements in the drink and I was getting enough vitamins in the sugary sweet mess to, say, eat another In-N-Out Double Double and not feel as guilty, I'd choke it down. As it is just basically food coloring with flavor, I would not drink this on purpose again."
42616,B001EQ4E60,A1SIOM55XS1XTQ,Brian Palmer,1,2,1,1259539200,Worst Packaging EVER!,"The product itself is fine but the packaging is terrible.  When I received my package, the lid on one jar was cracked and another jar was smashed into a million little pieces.  Instead of taking an extra 20 seconds and wrapping each jar in bubble wrap, some genius threw all six jars into the box then covered it with a single plastic air bag.  Looking at the other reviews, it sounds like this is a common problem.  I would strongly advise not buying this product unless you like playing with broken glass."
